meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1219,9161,55,4,2023-09-16T13:07:29.270000+00:00,47.129,58.322,48.809,149,130,False,154.26,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",147
1219,9161,16,4,2023-09-16T13:07:36.348000+00:00,44.96,61.393,48.875,198,184,False,155.228,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",157
1219,9161,81,4,2023-09-16T13:07:38.536000+00:00,41.71,57.505,49.027,221,212,False,148.242,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[0, 0, 0, 0, 0, 0, 0, 0]",163
1219,9161,31,2,2023-09-16T13:08:01.645000+00:00,27.265,39.296,26.35,306,276,False,92.911,"[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",298
1219,9161,2,5,2023-09-16T13:08:07.910000+00:00,27.245,39.711,26.615,312,279,False,104.159,"[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2051]","[2049, 2048, 2049, 2051, 2049, 2049, 2048, 2048]","[2048, 2049, 2051, 2048, 2048, 2048, 2049, 0]",301
1219,9161,23,2,2023-09-16T13:08:15.066000+00:00,27.23,39.902,26.495,312,279,False,93.627,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",303
1219,9161,22,2,2023-09-16T13:08:23.644000+00:00,27.549,39.157,26.224,306,277,False,92.93,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",295
1219,9161,27,5,2023-09-16T13:08:30.519000+00:00,27.272,39.455,26.433,312,280,False,108.682,"[None, 2048, 2049, 2048, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049]",301
1219,9161,20,5,2023-09-16T13:08:40.003000+00:00,27.174,39.477,26.387,312,279,False,112.296,"[None, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2051, 2049]","[2049, 2049, 2048, 2048, 2048, 2049, 2049, 0]",301
1219,9161,77,5,2023-09-16T13:08:45.831000+00:00,27.338,39.651,26.664,307,277,False,115.667,"[None, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2049, 2049, 0]",296
